timestamp_sec,x_dva,y_dva,pupil_diameter_mm,stimulus_x_deg,stimulus_y_deg,luminance,fixation_id
1.193002,2.174137307691654,-3.1429757015207036,3.661796887,0.0,0.0,dark,0.0
1.2013565,2.1776010108551653,-3.2448644812891736,3.6460758461,0.0,0.0,dark,0.0
1.2098222,2.0643201689861406,-3.2183399802334107,3.6627121115,0.0,0.0,dark,0.0
1.217997,2.1411453159600846,-3.1573928229114676,3.6800359994,0.0,0.0,dark,0.0
1.2263541,2.1634638724815662,-3.1812516187411792,3.6557424226,0.0,0.0,dark,0.0
1.2348203,2.0899736235048167,-3.195529856131541,3.6530094452,0.0,0.0,dark,0.0
1.2429809,2.0949684196884366,-3.1683754089224934,3.6752632416,0.0,0.0,dark,0.0
1.2514148,2.1039160637231342,-3.1644616967506685,3.692191518,0.0,0.0,dark,0.0
1.2598325,2.1326669008950963,-3.1880410811618463,3.6883694375,0.0,0.0,dark,0.0
1.2679797,2.15427343151012,-3.1233289130981654,3.6857755112,0.0,0.0,dark,0.0
1.2763558,2.1152284434404005,-3.2239483601958865,3.6560784575,0.0,0.0,dark,0.0
1.2848325,2.1795321692396747,-3.1653135866935678,3.6741312276,0.0,0.0,dark,0.0
1.2929992,2.046611157968602,-3.21015549960277,3.6781247351,0.0,0.0,dark,0.0
1.3013609,2.217765628963108,-3.148069385872481,3.6994757839,0.0,0.0,dark,0.0
1.3098358,2.1914424936796584,-3.141780297697234,3.6780992054,0.0,0.0,dark,0.0
1.3179968,2.0827321738268934,-3.2219052750590254,3.6751371295,0.0,0.0,dark,0.0
1.3263628,2.0798755682373304,-3.224562510621522,3.6576491249,0.0,0.0,dark,0.0
1.3348193,2.140002949574668,-3.1610944419849103,3.6801989599,0.0,0.0,dark,0.0
1.3429779,2.077252896082322,-3.175300321684042,3.6545214814,0.0,0.0,dark,0.0
1.3514144,2.077337947169356,-3.1034325881146847,3.6807227916,0.0,0.0,dark,0.0
1.3598481,2.1265189502949813,-3.0678091713141185,3.7001643093,0.0,0.0,dark,0.0
1.3679772,2.051851568156168,-3.0316318080831093,3.6553232422,0.0,0.0,dark,0.0
1.3763535,2.100494561486348,-3.1357394939056977,3.6375235526,0.0,0.0,dark,0.0
1.3847686,2.078341817889184,-3.1235214700692615,3.6900882076,0.0,0.0,dark,0.0
1.3929987,2.094163961404432,-3.0926228200470716,3.6560228744,0.0,0.0,dark,0.0
1.4013541,2.0912135133735217,-3.0738192204643435,3.6439867378,0.0,0.0,dark,0.0
1.4097263,2.071976022207899,-3.1046674030415167,3.6411188376,0.0,0.0,dark,0.0
1.4179986,2.11243627085891,-3.1264316315473417,3.6538636837,0.0,0.0,dark,0.0
1.4264804,2.002093368977322,-3.1467984598533154,3.6184115385,0.0,0.0,dark,0.0
